set,alpha,inst,lms1sbbf,lms1sbbf.t,lms1dw,lms1dw.t,n,lm1,lms1,lm2,lm3,lm4,opt,lmb
SBF2,0.25,Arc111_c=10027,16,39.587809889,16,64.855243336,111,15,15,4,7,15,16,16
SBF2,0.25,Arc111_c=10743,14,34.728514439,14,599.965219561,111,14,14,2,4,14,15,14
SBF2,0.25,Arc111_c=11570,13,29.019923174,13,98.66853648,111,13,13,0,4,13,13,13
SBF2,0.25,Arc111_c=17067,9,4.180434792,9,1.658040492,111,9,9,0,1,9,9,9
SBF2,0.25,Arc111_c=5785,27,123.090302994,27,15.413062075,111,26,26,17,21,27,27,27
SBF2,0.25,Arc111_c=6016,26,37.754342842,26,1.854873512,111,26,26,15,18,26,26,26
SBF2,0.25,Arc111_c=6267,25,125.950531434,25,5.723787968,111,24,24,14,17,25,25,25
SBF2,0.25,Arc111_c=6540,24,87.612168692,24,3.683648861,111,23,23,13,17,24,24,24
SBF2,0.25,Arc111_c=6837,23,94.82852267,23,12.848587426,111,22,22,12,15,23,23,23
SBF2,0.25,Arc111_c=7162,22,28.833120652,22,26.886150966,111,22,22,8,13,22,22,22
SBF2,0.25,Arc111_c=7520,20,56.010432593,21,47.524278685,111,20,20,8,13,20,21,21
SBF2,0.25,Arc111_c=7916,20,74.930918447,20,57.893338761,111,19,19,8,12,19,20,20
SBF2,0.25,Arc111_c=8356,19,84.596891513,19,11.20554929,111,18,18,5,10,18,19,19
SBF2,0.25,Arc111_c=9400,16,32.091555526,17,66.064140176,111,16,16,5,7,16,17,17
SBF2,0.25,Arc83_c=3786,21,2.844866344,21,0.073427395,83,21,21,5,9,21,21,21
SBF2,0.25,Arc83_c=3985,20,2.536703555,20,0.093954605,83,20,20,5,6,20,20,20
SBF2,0.25,Arc83_c=4206,19,1.568018608,19,0.087646367,83,19,19,4,6,19,19,19
SBF2,0.25,Arc83_c=4454,18,4.000662231,18,0.08399353,83,17,17,4,6,18,18,18
SBF2,0.25,Arc83_c=4732,17,1.643466138,17,0.079977219,83,17,17,3,6,17,17,17
SBF2,0.25,Arc83_c=5048,16,5.578049735,16,0.093095869,83,15,15,3,5,16,16,16
SBF2,0.25,Arc83_c=5408,15,1.094980532,15,0.078288802,83,15,15,2,4,15,15,15
SBF2,0.25,Arc83_c=5824,14,0.982356499,14,0.064427818,83,14,14,1,3,14,14,14
